rowID,playerID,gameID,game_date,away,opp,game_result,passYDS,passTD,passINT,rushYDS,rushTD,rec,recYDS,recTD,krtd,prtd,passBonus,rushBonus,recBonus,fpts
104,7,8,2009-10-11,0,TAM,W 33-14,264,3,0,30,0,0,0,0,0,0,0,0,0,25.56
105,7,9,2003-09-14,0,NWE,L 10-31,186,0,2,54,0,0,0,0,0,0,0,0,0,10.84
106,7,10,2003-10-19,1,NYG,W 14-10,64,0,1,-1,0,0,0,0,0,0,0,0,0,1.46
107,7,11,2004-12-05,0,GNB,W 47-17,464,5,0,0,0,0,0,0,0,0,3,0,0,41.56
108,7,12,2008-11-23,1,BAL,L 7-36,59,0,2,7,0,0,0,0,0,0,0,0,0,1.06
109,7,13,2005-09-18,0,SFO,W 42-3,342,5,0,0,0,0,0,0,0,0,3,0,0,36.68
110,7,14,1999-12-12,1,DAL,L 10-20,49,0,1,24,0,0,0,0,0,0,0,0,0,3.36
111,7,15,2007-09-23,0,DET,W 56-21,381,4,0,7,0,0,0,0,0,0,3,0,0,34.94
112,7,16,2007-11-11,1,WAS,W 33-25,251,4,0,37,0,0,0,0,0,0,0,0,0,29.74
113,8,1,1972-11-12,0,KAN,W 16-7,92,0,3,34,0,0,0,0,0,0,0,0,0,4.08
114,8,2,1972-10-22,0,NWE,W 33-3,173,1,0,15,0,0,0,0,0,0,0,0,0,12.42
115,8,3,1982-12-12,1,BUF,L 0-13,3,0,2,0,0,0,0,0,0,0,0,0,0,-1.88
116,8,4,1978-09-17,1,CIN,W 28-3,242,2,1,10,0,0,0,0,0,0,0,0,0,17.68
117,8,5,1978-11-19,0,CIN,W 7-6,117,0,4,-3,0,0,0,0,0,0,0,0,0,0.38
118,8,6,1982-12-19,1,CLE,L 9-10,144,1,4,0,0,0,0,0,0,0,0,0,0,5.76
119,8,7,1975-12-20,1,RAM,L 3-10,28,0,1,2,0,0,0,0,0,0,0,0,0,0.32
120,8,8,1978-12-16,1,DEN,W 21-17,131,2,0,0,0,0,0,0,0,0,0,0,0,13.24
121,8,9,1977-11-20,0,DAL,W 28-13,106,2,0,1,0,0,0,0,0,0,0,0,0,12.34
122,8,10,1975-10-05,1,CLE,W 42-6,151,1,0,-5,0,0,0,0,0,0,0,0,0,9.54
123,8,11,1982-12-05,0,KAN,W 35-14,231,3,1,0,0,0,0,0,0,0,0,0,0,20.24
124,8,12,1978-10-08,0,ATL,W 31-7,231,1,0,3,1,0,0,1,0,0,0,0,0,25.54
125,8,13,1974-12-14,0,CIN,W 27-3,132,2,0,4,0,0,0,0,0,0,0,0,0,13.68
126,8,14,1977-11-13,0,CLE,W 35-31,283,3,0,0,0,0,0,0,0,0,0,0,0,23.32
127,8,15,1983-12-10,1,NYJ,W 34-7,77,2,0,3,0,0,0,0,0,0,0,0,0,11.38
128,8,16,1971-12-05,1,HOU,L 3-29,111,0,3,8,0,0,0,0,0,0,0,0,0,2.24
129,9,1,2000-10-01,0,SDG,W 57-31,390,4,0,6,0,0,0,0,0,0,3,0,0,35.2
130,9,2,2000-12-03,1,CAR,L 3-16,189,0,4,0,0,0,0,0,0,0,0,0,0,3.56
131,9,3,2001-12-17,1,NOR,W 34-21,338,4,0,2,0,0,0,0,0,0,3,0,0,32.72
132,9,4,2002-09-29,0,DAL,L 10-13,17,0,1,0,0,0,0,0,0,0,0,0,0,-0.32
133,9,5,1999-10-24,0,CLE,W 34-3,203,3,0,0,0,0,0,0,0,0,0,0,0,20.12
134,9,6,1999-10-03,1,CIN,W 38-10,310,3,0,0,0,0,0,0,0,0,3,0,0,27.4
135,9,7,2001-12-30,0,IND,W 42-17,359,3,1,-1,0,0,0,0,0,0,3,0,0,28.26
136,9,8,2001-11-26,0,TAM,L 17-24,291,1,2,0,0,0,0,0,0,0,0,0,0,13.64
137,9,9,2002-09-23,1,TAM,L 14-26,301,0,4,19,0,0,0,0,0,0,3,0,0,12.94
138,9,10,1999-10-10,0,SFO,W 42-20,323,5,1,10,0,0,0,0,0,0,3,0,0,35.92
139,9,11,2001-10-28,0,NOR,L 31-34,385,1,4,0,0,0,0,0,0,0,3,0,0,18.4
140,9,12,1999-09-26,0,ATL,W 35-7,275,3,0,7,1,0,0,0,0,0,0,0,0,29.7
141,9,13,2002-12-01,1,PHI,L 3-10,218,0,2,1,0,0,0,0,0,0,0,0,0,6.82
142,9,14,2001-09-30,0,MIA,W 42-10,328,4,0,-1,0,0,0,0,0,0,3,0,0,32.02
143,9,15,2001-10-08,1,DET,W 35-0,291,3,0,0,0,0,0,0,0,0,0,0,0,23.64
144,9,16,2001-12-02,1,ATL,W 35-6,342,4,0,3,0,0,0,0,0,0,3,0,0,32.98
