rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,73,13,1971,9/19/1971,1,24-072,BUF,,DAL,L 37-49,14,25,1.79,1,,1,4,4,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,9.9,
,73,14,1972,12/3/1972,12,25-147,BUF,@,BAL,L 7-35,14,26,1.86,1,,6,62,10.33,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,20.8,
,73,15,1969,10/5/1969,4,22-088,BUF,@,HOU,L 14-28,13,27,2.08,0,,3,32,10.67,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,8.9,
,73,16,1971,12/12/1971,13,24-156,BUF,,HOU,L 14-20,12,29,2.42,1,,1,14,14,0,,,0,1,0,0,0,0,39.6,,,,,,,,,,,,,,,0,0,0,11.3,
,74,1,1990,9/24/1990,3,24-131,BUF,@,NYJ,W 30-7,18,214,11.89,0,,3,5,1.67,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,27.9,24.05
,74,2,1990,11/18/1990,10,24-186,BUF,,NWE,W 14-0,22,165,7.5,2,,1,5,5,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,33,
,74,3,1991,9/1/1991,1,25-108,BUF,,MIA,W 35-31,25,165,6.6,1,,8,103,12.88,1,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,3,52.8,
,74,4,1992,11/8/1992,9,26-176,BUF,,PIT,W 28-20,37,155,4.19,1,4,4,30,7.5,0,100.00%,7.5,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,31.5,
,74,5,1990,12/23/1990,15,24-221,BUF,,MIA,W 24-14,30,154,5.13,1,,2,29,14.5,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,29.3,
,74,6,1989,10/29/1989,8,23-166,BUF,,MIA,W 31-17,27,148,5.48,1,,2,21,10.5,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,27.9,
,74,7,1995,12/17/1995,15,29-215,BUF,,MIA,W 23-20,35,148,4.23,1,1,1,11,11,1,100.00%,11,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,31.9,
