rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Tgt,Rec,recYDS,Y/R,recTD,Ctch%,Y/Tgt,Att,rushYDS,Y/A,rushTD,Cmp,Att,Cmp%,passYDS,passTD,passINT,Rate,Sk,Yds,Y/A,AY/A,Rt,Yds,Y/Rt,KRTD,Ret,Yds,Y/R,PRTD,2PM,TD,Pts,Sk,Tkl,Ast,passBonus,rushBonus,recBonus,fpts,
,158,9,1997,8/31/1997,1,22-319,BAL,,JAX,L 27-28,8,4,73,18.25,2,1,9.13,1,5,5,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,23.8,
,158,10,1997,11/2/1997,9,23-017,BAL,@,NYJ,L 16-19,10,4,72,18,0,0,7.2,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,11.2,
,158,16,1998,11/29/1998,12,24-044,BAL,,IND,W 38-31,3,1,53,53,0,0,17.67,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,6.3,
,158,21,1999,11/28/1999,11,25-043,BAL,,JAX,L 23-30,3,1,46,46,0,0,15.33,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,5.6,
,158,27,2002,10/13/2002,5,27-362,HOU,,BUF,L 24-31,3,1,33,33,0,0,11,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,4.3,
,158,33,1996,10/13/1996,6,21-363,BAL,@,IND,L 21-26,1,1,19,19,0,1,19,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.9,
,158,36,1996,11/10/1996,10,22-025,BAL,@,JAX,L 27-30,1,1,16,16,0,1,16,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.6,
,158,42,2001,12/2/2001,12,27-047,BAL,,IND,W 39-27,1,1,12,12,0,1,12,3,9,3,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,3.1,
,159,1,1986,11/16/1986,11,22-074,HOU,@,PIT,L 10-21,,8,156,19.5,1,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,32.6,17.56875
,159,2,1986,10/5/1986,5,22-032,HOU,@,DET,L 13-24,,5,155,31,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,23.5,
,159,3,1991,10/6/1991,5,27-033,HOU,,DEN,W 42-14,,5,151,30.2,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,23.1,
,159,4,1989,10/8/1989,5,25-035,HOU,@,NWE,L 13-23,,5,128,25.6,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,20.8,
,159,5,1987,11/22/1987,10,23-080,HOU,,CLE,L 7-40,,3,126,42,1,,,1,-13,-13,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,23.3,
,159,6,1988,12/18/1988,16,24-106,HOU,@,CLE,L 23-28,,6,119,19.83,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,20.9,
,159,7,1988,11/20/1988,12,24-078,HOU,,PHO,W 38-20,,5,118,23.6,2,,,1,4,4,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,32.2,
,159,8,1987,9/13/1987,1,23-010,HOU,,RAM,W 20-16,,6,117,19.5,1,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,26.7,
,159,9,1990,9/9/1990,1,26-006,HOU,@,ATL,L 27-47,,4,109,27.25,2,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,29.9,
,159,10,1986,12/14/1986,15,22-102,HOU,,MIN,W 23-10,,6,108,18,1,,,2,30,15,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,3,28.8,
,159,122,1989,12/17/1989,15,25-105,HOU,@,CIN,L 7-61,,1,23,23,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,3.3,
,159,130,1995,12/3/1995,13,31-091,JAX,@,DEN,L 23-31,7,1,18,18,0,14.30%,2.57,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.8,
,159,135,1994,9/18/1994,3,30-015,HOU,,BUF,L 7-15,3,1,13,13,0,33.30%,4.33,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.3,
,159,136,1989,12/3/1989,13,25-091,HOU,@,PIT,W 23-16,,1,12,12,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.2,
,159,137,1992,12/7/1992,13,28-095,HOU,,CHI,W 24-7,5,1,12,12,0,20.00%,2.4,1,44,44,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,6.6,
,159,138,1995,9/10/1995,2,31-007,JAX,@,CIN,L 17-24,2,1,11,11,0,50.00%,5.5,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,2.1,
,160,1,1990,12/16/1990,14,26-004,HOU,@,KAN,W 27-10,,9,245,27.22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,42.5,18.825
,160,2,1991,10/13/1991,6,26-305,HOU,@,NYJ,W 23-20,,13,186,14.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,34.6,
,160,3,1993,11/28/1993,11,28-351,HOU,,PIT,W 23-3,,7,139,19.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,29.9,
,160,4,1991,11/24/1991,12,26-347,HOU,@,PIT,L 14-26,,8,122,15.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,29.2,
,160,5,1992,9/6/1992,1,27-269,HOU,,PIT,L 24-29,,7,117,16.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,21.7,
,160,6,1994,9/11/1994,2,29-273,HOU,@,DAL,L 17-20,,6,103,17.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,19.3,
,160,7,1994,9/4/1994,1,29-266,HOU,@,IND,L 21-45,,8,99,12.38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,29.9,
,160,8,1991,9/22/1991,4,26-284,HOU,@,NWE,L 20-24,,7,98,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16.8,
,160,9,1991,9/8/1991,2,26-270,HOU,@,CIN,W 30-7,,4,91,22.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,19.1,
,160,10,1991,12/15/1991,15,27-003,HOU,@,CLE,W 17-14,,7,91,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22.1,
,160,68,1988,12/11/1988,15,23-365,HOU,,CIN,W 41-6,,1,42,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.2,
,160,75,1990,11/26/1990,11,25-349,HOU,,BUF,W 27-24,,1,37,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10.7,
,160,79,1995,12/17/1995,15,31-005,HOU,,NYJ,W 23-6,2,1,35,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10.5,
,160,98,1987,11/29/1987,11,22-352,HOU,@,IND,L 27-51,,1,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.3,
,160,99,1989,12/10/1989,14,24-363,HOU,,TAM,W 20-17,,1,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.3,
,160,103,1994,11/21/1994,11,29-344,HOU,,NYG,L 10-13,1,1,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.1,
